date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:54:28	2206/2206	------	403	error ('Forbidden')	text/html	date:Fri,%2017%20Feb%202023%2003:48:22%20GMT	https://www.classcentral.com/robots.txt		(from )
00:54:29	664784/664784	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Feb%202023%2003:54:29%20GMT	https://www.classcentral.com/	original/www.classcentral.com/index.html	(from )
00:54:31	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2017%20Feb%202023%2003:54:29%20GMT	http://schema.org/WebSite	original/schema.org/WebSite.0.delayed	(from https://www.classcentral.com/)
00:54:32	179772/179772	---MCZ	200	added ('OK')	text/html	etag:%22HE3AwQ%22	https://schema.org/WebSite	original/schema.org/WebSite.html	(from https://www.classcentral.com/)
00:54:33	9463/9463	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Feb%202023%2009:40:40%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fmeta%2Fmeta-default.png?auto=format&ixlib=php-3.3.1&s=abde49e12c23a50309f7d91754b25193	original/ccweb.imgix.net/https_/www.classcentral.com/images/meta/meta-default6dba.png	(from https://www.classcentral.com/)
00:54:34	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2017%20Feb%202023%2003:54:33%20GMT	http://twitter.com/classcentral	original/twitter.com/classcentral.3.delayed	(from https://www.classcentral.com/)
00:54:35	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2017%20Feb%202023%2003:54:34%20GMT	http://www.linkedin.com/company/class-central	original/www.linkedin.com/company/class-central.5.delayed	(from https://www.classcentral.com/)
00:54:35	171709/171709	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Feb%202023%2003:54:34%20GMT	https://twitter.com/classcentral	original/twitter.com/classcentral.html	(from https://www.classcentral.com/)
00:54:36	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2017%20Feb%202023%2003:54:35%20GMT	https://www.linkedin.com/company/class-central	original/www.linkedin.com/company/class-central.6.delayed	(from https://www.classcentral.com/)
00:54:38	335531/335531	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Feb%202023%2003:54:37%20GMT	https://www.linkedin.com/company/classcentral	original/www.linkedin.com/company/classcentral.html	(from https://www.classcentral.com/)
00:54:39	133445/133445	---MCZ	200	added ('OK')	text/html	etag:W/%22b08bd81d6a923dfad0f78aff1817f0c5%22	https://github.com/classcentral	original/github.com/classcentral.html	(from https://www.classcentral.com/)
00:54:39	2206/2206	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Feb%202023%2011:20:21%20GMT	https://www.classcentral.com/apple-touch-icon.png	original/www.classcentral.com/apple-touch-icon.png	(from https://www.classcentral.com/)
00:54:40	975/975	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Feb%202023%2011:15:26%20GMT	https://www.classcentral.com/favicon-32x32.png	original/www.classcentral.com/favicon-32x32.png	(from https://www.classcentral.com/)
00:54:41	731/731	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Feb%202023%2011:15:26%20GMT	https://www.classcentral.com/favicon-16x16.png	original/www.classcentral.com/favicon-16x16.png	(from https://www.classcentral.com/)
00:54:42	673/673	---M--	200	added ('OK')	application/octet-stream	etag:%2263ee104e-2a1%22	https://www.classcentral.com/site.webmanifest	original/www.classcentral.com/site.webmanifest	(from https://www.classcentral.com/)
00:54:44	1960/1960	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2263ee104e-7a8%22	https://www.classcentral.com/safari-pinned-tab.svg	original/www.classcentral.com/safari-pinned-tab.svg	(from https://www.classcentral.com/)
00:54:45	913/913	---MCZ	200	added ('OK')	text/xml	etag:W/%2263ee1175-391%22	https://www.classcentral.com/opensearch.xml	original/www.classcentral.com/opensearch.xml	(from https://www.classcentral.com/)
00:54:45	1328/1328	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2016%20Feb%202023%2011:20:21%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-cyrillic-ext.woff2	original/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-cyrillic-ext.woff2	(from https://www.classcentral.com/)
00:54:46	1328/1328	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2016%20Feb%202023%2011:15:26%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek-ext.woff2	original/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek-ext.woff2	(from https://www.classcentral.com/)
00:54:47	1488/1488	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2016%20Feb%202023%2011:20:21%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek.woff2	original/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek.woff2	(from https://www.classcentral.com/)
00:54:48	5588/5588	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2016%20Feb%202023%2011:15:26%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-vietnamese.woff2	original/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-vietnamese.woff2	(from https://www.classcentral.com/)
00:54:50	12520/12520	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2016%20Feb%202023%2011:15:26%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin-ext.woff2	original/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin-ext.woff2	(from https://www.classcentral.com/)
00:54:50	15280/15280	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2016%20Feb%202023%2011:15:26%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin.woff2	original/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin.woff2	(from https://www.classcentral.com/)
00:54:51	6868/6868	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2016%20Feb%202023%2011:15:26%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-cyrillic-ext.woff2	original/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-cyrillic-ext.woff2	(from https://www.classcentral.com/)
00:54:52	9684/9684	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2016%20Feb%202023%2011:20:21%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-cyrillic.woff2	original/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-cyrillic.woff2	(from https://www.classcentral.com/)
00:54:53	7376/7376	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2016%20Feb%202023%2011:15:26%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-greek-ext.woff2	original/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-greek-ext.woff2	(from https://www.classcentral.com/)
00:54:54	8444/8444	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2016%20Feb%202023%2011:15:26%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-greek.woff2	original/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-greek.woff2	(from https://www.classcentral.com/)
00:54:55	5804/5804	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2016%20Feb%202023%2011:15:26%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-vietnamese.woff2	original/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-vietnamese.woff2	(from https://www.classcentral.com/)
00:54:56	14960/14960	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2016%20Feb%202023%2011:15:26%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin-ext.woff2	original/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin-ext.woff2	(from https://www.classcentral.com/)
00:54:57	16112/16112	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2016%20Feb%202023%2011:15:26%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin.woff2	original/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin.woff2	(from https://www.classcentral.com/)
